scores,average_scores,std
-3.0,-1.7162162162162162,1.5606674790862962
-2.3,-1.7240000000000002,1.551673505176481
-2.4,-1.6974025974025977,1.5642079466148335
-2.2,-1.703846153846154,1.5551768229659082
1.0,-1.7028571428571428,1.5571009168663803
-2.8,-1.6962499999999998,1.5522116278072393
-2.4000000000000004,-1.7049382716049382,1.5445564495411734
0.0,-1.6822784810126583,1.556998044247358
-2.6,-1.6843373493975902,1.5553624245614117
-2.7,-1.6964285714285712,1.5499958854454936
1.0,-1.6881578947368423,1.572373926438281
-1.7999999999999998,-1.6976470588235293,1.5408917563684645
-2.8,-1.6488636363636366,1.5716952571681824
-2.5,-1.6584269662921352,1.5654133236559475
0.9,-1.673170731707317,1.5615071503540359
-2.4000000000000004,-1.666666666666667,1.558631878710728
-2.6,-1.6769230769230772,1.5530952379872476
-3.1000000000000005,-1.6923913043478263,1.5516634619191176
-1.6,-1.6913978494623658,1.5433280554947142
-1.6,-1.668421052631579,1.5418555572934798
1.0,-1.6356321839080459,1.5758214067877845
1.0,-1.6662790697674417,1.5589658517014504
-2.6000000000000005,-1.6649484536082477,1.5342173690475869
-2.5,-1.6734693877551023,1.5286749644780848
0.3999999999999999,-1.6691489361702128,1.5500189838058251
-0.40000000000000013,-1.6552083333333336,1.5392009420249702
-2.1000000000000005,-1.656,1.529988235248886
-2.4000000000000004,-1.6780000000000002,1.5095416522905223
0.30000000000000004,-1.673,1.507969164140965
-0.3999999999999999,-1.6680000000000001,1.515313828881661
-2.4,-1.6740000000000002,1.5070912381140034
0.30000000000000004,-1.6535353535353536,1.5336833020452265
-2.5,-1.672,1.5058605513127703
-2.9,-1.6730000000000005,1.5066422933131804
-2.5,-1.6710000000000003,1.505409910954488
1.0,-1.6270000000000002,1.5486674917489551
-3.2,-1.6760000000000002,1.5096436665650608
-2.5,-1.6360000000000001,1.5151580775615463
-2.6,-1.6720000000000002,1.4947294069496324
-2.8,-1.7080000000000002,1.4780175912349622
-0.8999999999999999,-1.655,1.5056809090906347
0.09999999999999998,-1.6280000000000001,1.5126850300045942
-3.4000000000000004,-1.7290000000000003,1.4920653470944227
-1.6,-1.6909999999999998,1.5126860216184983
-2.1,-1.625,1.5324082354255346
-2.1,-1.653,1.5151537875740535
-0.2999999999999998,-1.631,1.5354279533732607
1.0,-1.689,1.5003262978432392
-2.4,-1.614,1.521842304576923
-2.3,-1.6130000000000004,1.5213582747006047
0.9,-1.699,1.514298187280167
0.19999999999999996,-1.624,1.5225715089939127
1.0,-1.729,1.4920653470944227
1.0,-1.6529999999999998,1.5319565920743314
-0.19999999999999996,-1.59,1.5149587453128879
-2.8,-1.6260000000000003,1.5004412684273916
0.10000000000000009,-1.618,1.5148848141030395
0.8,-1.585,1.5341691562536381
-2.8,-1.6380000000000001,1.4913604527410536
-2.0999999999999996,-1.643,1.496078540719036
-2.8000000000000003,-1.633,1.486610574427614
-1.9,-1.6300000000000003,1.4857657958103627
-2.2,-1.6600000000000004,1.4665606022254927
-1.9,-1.65,1.4614718608307176
-2.3000000000000003,-1.6440000000000001,1.4575541156334473
-2.4,-1.608,1.482948414477051
-2.0,-1.635,1.465153575568104
1.0,-1.6380000000000003,1.4913604527410536
-2.2,-1.631,1.4630580986413355
0.30000000000000004,-1.619,1.4691967192993591
-2.2,-1.6299999999999997,1.4626346091898688
-1.9,-1.5919999999999999,1.4731381469502445
-2.8,-1.5840000000000003,1.4643578797548091
-2.5999999999999996,-1.5500000000000003,1.4773286702694157
-2.0999999999999996,-1.541,1.4711964518717409
-2.5,-1.456,1.484070079207852
1.0,-1.584,1.4893434795237799
0.6,-1.601,1.4777344145684637
0.7,-1.5520000000000005,1.4788833625408058
-2.8,-1.518,1.4862287845415996
-2.5,-1.479,1.4809655634078733
-1.8,-1.4770000000000005,1.4803955552486638
0.19999999999999996,-1.489,1.4911669926604465
0.30000000000000004,-1.516,1.4846359823202453
-2.5999999999999996,-1.4529999999999998,1.482258749341693
-0.10000000000000009,-1.4560000000000002,1.4848784462035942
0.7,-1.514,1.4872135018214432
-1.9,-1.439,1.4853211773889174
-2.0,-1.43,1.479155164274526
-2.7,-1.3969999999999996,1.4828658064707003
-3.2,-1.398,1.4837776113690353
-1.9,-1.3929999999999996,1.4809628624648223
-2.0,-1.3799999999999997,1.4779715829473854
-2.0999999999999996,-1.3659999999999999,1.4643920240154276
0.3999999999999999,-1.3980000000000001,1.4837776113690353
-2.5,-1.401,1.4491718324615614
1.0,-1.45,1.492749141684563
-2.5,-1.4340000000000002,1.4361907951243804
1.0,-1.3899999999999997,1.4854965499791644
-2.5,-1.395,1.44335546557319
-2.3,-1.388,1.4372390197875926
-2.1,-1.386,1.4361072383356337
-1.7000000000000002,-1.4129999999999998,1.4162383274011474
-2.9,-1.4180000000000001,1.420590018267058
-2.7,-1.4039999999999995,1.3908213400721174
-2.0999999999999996,-1.4169999999999996,1.4200742938311361
0.8,-1.401,1.4491718324615614
-1.5,-1.432,1.4129317039404274
-2.9,-1.433,1.4139345812306876
-2.5999999999999996,-1.4379999999999997,1.4107997731783202
-1.9,-1.4310000000000003,1.4067476674940678
-2.3,-1.406,1.4136350306921515
-1.6,-1.432,1.3929020066034796
-2.0,-1.4240000000000002,1.3873081849394533
-0.19999999999999996,-1.401,1.3883439775502324
0.6,-1.4029999999999998,1.4248828021981315
0.30000000000000004,-1.401,1.4113465201714281
1.0,-1.406,1.4136350306921512
-2.0,-1.3429999999999995,1.401089219143449
-0.19999999999999996,-1.3389999999999997,1.3997781967154654
-2.1,-1.3529999999999995,1.397530321674632
-2.2,-1.3639999999999999,1.3923016914447817
-1.9,-1.3679999999999999,1.39526914966253
-0.10000000000000009,-1.3479999999999999,1.3957420965207004
-1.7,-1.3559999999999997,1.388043226992589
1.0,-1.3679999999999994,1.4059075360776756
-2.3,-1.3839999999999997,1.377804049928726
-2.8,-1.3910000000000002,1.383191599164772
-2.4,-1.4110000000000003,1.3831771397763917
